VOCs,NM1,NM2,NM3,NM4,AM1,AM2,AM3,AM4,NMP1,NMP2,NMP3,NMP4,AMP1,AMP2,AMP3,AMP4
"Tetradecane, 4-methyl-",107883.1878,99918.00572,93277.67734,88642.79996,73616.32891,96376.97258,95097.45089,72179.20753,88733.58928,91312.81038,91950.98141,77218.98924,89613.68546,68120.89981,95196.46424,84873.64046
"2,6,10-Trimethyltridecane",289922.3099,351638.5245,250296.0625,243231.8987,185869.0517,287654.7998,313834.7889,301960.7553,493408.6113,263705.4403,667146.1021,525696.7538,308721.6075,868220.0913,363616.7738,454826.1647
"2,5-di-tert-Butyl-1,4-benzoquinone",99273.59064,131409.6029,67508.10868,109989.7892,71683.81968,83716.13993,59127.66875,122143.6502,96498.3916,78971.43649,84309.71486,64706.54993,64944.32183,125386.5889,79171.69658,74793.6288
"1H-Pyrrolizine-1-methanol, hexahydro-7-hydroxy-, [1S-(1.alpha.,7.alpha.,7a.beta.)]-",742064.1444,836268.3566,637820.0521,756801.1294,450548.1266,965974.542,1056714.214,752339.0207,23501.68191,21389.39408,27835.29571,17364.79207,82017.78414,229494.5175,72220.40289,96796.77666
"3-Buten-2-one, 4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-",9957164.934,8931943.894,10010006.75,9451000.505,12789912.44,15702260.42,12315598.22,13313517.51,3317510.454,6629299.803,2917495.659,3760272.575,6239277.641,8912337.685,7305824.124,6992996.191
"3-Buten-2-one, 4-(2,2,6-trimethyl-7-oxabicyclo[4.1.0]hept-1-yl)-",3778641.759,3757723.47,4243131.648,3860348.184,5167494.083,5893515.156,4957082.357,5415397.211,4297261.686,4772493.783,4672304.238,3682343.931,3394498.287,6981033.03,4196837.815,6042333.002
Pentadecane,30561151.47,32316619.25,26963186.37,24710138.14,23828223.42,28391757.36,28094666.1,29114174.91,28209637.44,25087424.31,29288197.9,24588741.88,25099044.46,25604810.21,24893741.15,25016584.3
"2(4H)-Benzofuranone, 5,6,7,7a-tetrahydro-4,4,7a-trimethyl-, (R)-",597199.0556,1090706.41,905703.3299,738277.3289,857571.5604,1243074.788,927351.8497,990504.7177,2142944.678,1386811.993,2331038.236,1735330.708,1068766.795,3977607.092,1567123.421,2554335.148
"Octanoic acid, hexyl ester",1111059.235,886926.6586,1130245.872,769246.1043,1065083.567,1252415.428,828037.4482,1357047.467,49275.20125,133023.039,55347.76616,86402.79077,410017.0716,333824.2264,310918.3214,210129.3161
"Hexadecane, 4-methyl-",78254.96649,64390.15018,59359.14373,49900.78496,55304.67616,52269.22405,53970.04184,64587.11774,59160.20814,51127.3827,64174.63893,50351.62342,54675.89702,55519.57764,57975.71396,49126.34494
N-(2-Methyl-2H-tetrazol-5-yl)-acetamide,294702.8751,212264.7361,260076.8159,216691.4225,263788.7366,287765.7047,297425.5438,341198.4807,291229.1367,289598.3187,271789.0225,287163.4595,285894.6577,215231.6028,303159.7084,258203.0705
1H-Tetrazol-5-amine,1070576.612,821316.4121,909548.1894,795279.8139,1069350.198,937646.0109,970709.7253,1115400.973,1007304.206,1018855.993,956101.8704,964774.0412,953589.7241,650985.5704,1039581.777,943069.3301
"Heptadecane, 2-methyl-",84508.1582,33313.64329,61141.79608,55377.23871,63171.13522,49610.80393,67075.79015,66622.78597,64572.35675,86149.95947,51748.58601,58068.37845,66147.0259,49497.56105,69983.35678,24241.07378
"2-Pentadecanone, 6,10,14-trimethyl-",84818.74904,273237.9787,234401.4675,143608.3256,148007.8044,216882.1584,165371.5929,170811.8173,1802513.358,844481.3635,1680234.235,1950968.365,632751.8431,3197967.846,1135879.758,1843922.265
"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",35737.08624,16071.61452,20778.65616,30976.97664,24251.74709,40065.30103,53958.41783,74410.76454,59083.09013,33177.72976,33515.53369,37576.26966,21685.19679,16025.73607,54275.57767,55643.55267
Dibutyl phthalate,112593.4334,169781.3448,315238.831,121101.2202,106687.5885,70744.11306,57522.43866,76362.4092,1611084.351,1535185.732,2298588.841,2169765.84,1216548.932,2374456.783,1365059.033,2020752.954
